# Generated by QuTiP: 150x2 real matrix in decimal format [',' separated values].
0.0000000000,0.0244063728
1.0000000000,0.0305132789
2.0000000000,0.0357626855
3.0000000000,0.0394173457
4.0000000000,0.0409778648
5.0000000000,0.0402982402
6.0000000000,0.0376012814
7.0000000000,0.0333959660
8.0000000000,0.0283335939
9.0000000000,0.0230552164
10.0000000000,0.0180755690
11.0000000000,0.0137262766
12.0000000000,0.0101562412
13.0000000000,0.0073703852
14.0000000000,0.0052831852
15.0000000000,0.0037682512
16.0000000000,0.0026941206
17.0000000000,0.0019445501
18.0000000000,0.0014264345
19.0000000000,0.0010700023
20.0000000000,0.0008253328
21.0000000000,0.0006578580
22.0000000000,0.0005442204
23.0000000000,0.0004689933
24.0000000000,0.0004223095
25.0000000000,0.0003982734
26.0000000000,0.0003939936
27.0000000000,0.0004091153
28.0000000000,0.0004457843
29.0000000000,0.0005090352
30.0000000000,0.0006076485
31.0000000000,0.0007555471
32.0000000000,0.0009737713
33.0000000000,0.0012929273
34.0000000000,0.0017557074
35.0000000000,0.0024186263
36.0000000000,0.0033516472
37.0000000000,0.0046341213
38.0000000000,0.0063457670
39.0000000000,0.0085524601
40.0000000000,0.0112882858
41.0000000000,0.0145371577
42.0000000000,0.0182185951
43.0000000000,0.0221823322
44.0000000000,0.0262149967
45.0000000000,0.0300594301
46.0000000000,0.0334440903
47.0000000000,0.0361173439
48.0000000000,0.0378801423
49.0000000000,0.0386109435
50.0000000000,0.0382785970
51.0000000000,0.0369416543
52.0000000000,0.0347353765
53.0000000000,0.0318499061
54.0000000000,0.0285041920
55.0000000000,0.0249202652
56.0000000000,0.0213015521
57.0000000000,0.0178174940
58.0000000000,0.0145952249
59.0000000000,0.0117177772
60.0000000000,0.0092274314
61.0000000000,0.0071324372
62.0000000000,0.0054153545
63.0000000000,0.0040415516
64.0000000000,0.0029668318
65.0000000000,0.0021436001
66.0000000000,0.0015253687
67.0000000000,0.0010696768
68.0000000000,0.0007396668
69.0000000000,0.0005046356
70.0000000000,0.0003398785
71.0000000000,0.0002261068
72.0000000000,0.0001486558
73.0000000000,0.0000966400
74.0000000000,0.0000621532
75.0000000000,0.0000395658
76.0000000000,0.0000249426
77.0000000000,0.0000155790
78.0000000000,0.0000096453
79.0000000000,0.0000059221
80.0000000000,0.0000036076
81.0000000000,0.0000021814
82.0000000000,0.0000013099
83.0000000000,0.0000007814
84.0000000000,0.0000004633
85.0000000000,0.0000002731
86.0000000000,0.0000001601
87.0000000000,0.0000000934
88.0000000000,0.0000000543
89.0000000000,0.0000000314
90.0000000000,0.0000000181
91.0000000000,0.0000000104
92.0000000000,0.0000000060
93.0000000000,0.0000000034
94.0000000000,0.0000000019
95.0000000000,0.0000000011
96.0000000000,0.0000000006
97.0000000000,0.0000000004
98.0000000000,0.0000000002
99.0000000000,0.0000000001
100.0000000000,0.0000000001
101.0000000000,0.0000000000
102.0000000000,0.0000000000
103.0000000000,0.0000000000
104.0000000000,0.0000000000
105.0000000000,0.0000000000
106.0000000000,0.0000000000
107.0000000000,0.0000000000
108.0000000000,0.0000000000
109.0000000000,0.0000000000
110.0000000000,0.0000000000
111.0000000000,0.0000000000
112.0000000000,0.0000000000
113.0000000000,0.0000000000
114.0000000000,0.0000000000
115.0000000000,0.0000000000
116.0000000000,0.0000000000
117.0000000000,0.0000000000
118.0000000000,0.0000000000
119.0000000000,0.0000000000
120.0000000000,0.0000000000
121.0000000000,0.0000000000
122.0000000000,0.0000000000
123.0000000000,0.0000000000
124.0000000000,0.0000000000
125.0000000000,0.0000000000
126.0000000000,0.0000000000
127.0000000000,0.0000000000
128.0000000000,0.0000000000
129.0000000000,0.0000000000
130.0000000000,0.0000000000
131.0000000000,0.0000000000
132.0000000000,0.0000000000
133.0000000000,0.0000000000
134.0000000000,0.0000000000
135.0000000000,0.0000000000
136.0000000000,0.0000000000
137.0000000000,0.0000000000
138.0000000000,0.0000000000
139.0000000000,0.0000000000
140.0000000000,0.0000000000
141.0000000000,0.0000000000
142.0000000000,0.0000000000
143.0000000000,0.0000000000
144.0000000000,0.0000000000
145.0000000000,0.0000000000
146.0000000000,0.0000000000
147.0000000000,0.0000000000
148.0000000000,0.0000000000
149.0000000000,0.0000000000
